year,month,department,gl_category,budgeted_amount
2023,2023-01,Engineering,Payroll & Benefits,165741.61
2023,2023-01,Engineering,Cloud Infrastructure,53547.29
2023,2023-01,Engineering,R&D Expenses,35698.19
2023,2023-01,Sales,Payroll & Benefits,94709.49
2023,2023-01,Sales,SaaS Tools & Subscriptions,28048.58
2023,2023-01,Sales,Travel & Entertainment,22948.84
2023,2023-01,Marketing,Payroll & Benefits,71032.12
2023,2023-01,Marketing,Sales & Marketing,30598.45
2023,2023-01,Marketing,SaaS Tools & Subscriptions,7649.61
2023,2023-01,Product,Payroll & Benefits,47354.74
2023,2023-01,Product,Cloud Infrastructure,19124.03
2023,2023-01,Product,R&D Expenses,6374.68
2023,2023-01,Operations,Payroll & Benefits,56825.69
2023,2023-01,Operations,SaaS Tools & Subscriptions,13769.3
2023,2023-01,Operations,Office & Facilities,16829.15
2023,2023-01,Finance,Payroll & Benefits,37883.8
2023,2023-01,Finance,Professional Services,17339.12
2023,2023-01,Finance,SaaS Tools & Subscriptions,3059.85
2023,2023-02,Engineering,Payroll & Benefits,156870.74
2023,2023-02,Engineering,Cloud Infrastructure,50681.32
2023,2023-02,Engineering,R&D Expenses,33787.54
2023,2023-02,Sales,Payroll & Benefits,89640.43
2023,2023-02,Sales,SaaS Tools & Subscriptions,26547.36
2023,2023-02,Sales,Travel & Entertainment,21720.56
2023,2023-02,Marketing,Payroll & Benefits,67230.32
2023,2023-02,Marketing,Sales & Marketing,28960.75
2023,2023-02,Marketing,SaaS Tools & Subscriptions,7240.19
2023,2023-02,Product,Payroll & Benefits,44820.21
2023,2023-02,Product,Cloud Infrastructure,18100.47
2023,2023-02,Product,R&D Expenses,6033.49
2023,2023-02,Operations,Payroll & Benefits,53784.26
2023,2023-02,Operations,SaaS Tools & Subscriptions,13032.34
2023,2023-02,Operations,Office & Facilities,15928.41
2023,2023-02,Finance,Payroll & Benefits,35856.17
2023,2023-02,Finance,Professional Services,16411.09
2023,2023-02,Finance,SaaS Tools & Subscriptions,2896.08
2023,2023-03,Engineering,Payroll & Benefits,158666.04
2023,2023-03,Engineering,Cloud Infrastructure,51261.34
2023,2023-03,Engineering,R&D Expenses,34174.22
2023,2023-03,Sales,Payroll & Benefits,90666.31
2023,2023-03,Sales,SaaS Tools & Subscriptions,26851.18
2023,2023-03,Sales,Travel & Entertainment,21969.14
2023,2023-03,Marketing,Payroll & Benefits,67999.73
2023,2023-03,Marketing,Sales & Marketing,29292.19
2023,2023-03,Marketing,SaaS Tools & Subscriptions,7323.05
2023,2023-03,Product,Payroll & Benefits,45333.15
2023,2023-03,Product,Cloud Infrastructure,18307.62
2023,2023-03,Product,R&D Expenses,6102.54
2023,2023-03,Operations,Payroll & Benefits,54399.78
2023,2023-03,Operations,SaaS Tools & Subscriptions,13181.49
2023,2023-03,Operations,Office & Facilities,16110.71
2023,2023-03,Finance,Payroll & Benefits,36266.52
2023,2023-03,Finance,Professional Services,16598.91
2023,2023-03,Finance,SaaS Tools & Subscriptions,2929.22
2023,2023-04,Engineering,Payroll & Benefits,160841.0
2023,2023-04,Engineering,Cloud Infrastructure,51964.01
2023,2023-04,Engineering,R&D Expenses,34642.68
2023,2023-04,Sales,Payroll & Benefits,91909.14
2023,2023-04,Sales,SaaS Tools & Subscriptions,27219.25
2023,2023-04,Sales,Travel & Entertainment,22270.29
2023,2023-04,Marketing,Payroll & Benefits,68931.86
2023,2023-04,Marketing,Sales & Marketing,29693.72
2023,2023-04,Marketing,SaaS Tools & Subscriptions,7423.43
2023,2023-04,Product,Payroll & Benefits,45954.57
2023,2023-04,Product,Cloud Infrastructure,18558.58
2023,2023-04,Product,R&D Expenses,6186.19
2023,2023-04,Operations,Payroll & Benefits,55145.48
2023,2023-04,Operations,SaaS Tools & Subscriptions,13362.18
2023,2023-04,Operations,Office & Facilities,16331.55
2023,2023-04,Finance,Payroll & Benefits,36763.66
2023,2023-04,Finance,Professional Services,16826.44
2023,2023-04,Finance,SaaS Tools & Subscriptions,2969.37
2023,2023-05,Engineering,Payroll & Benefits,176048.19
2023,2023-05,Engineering,Cloud Infrastructure,56877.11
2023,2023-05,Engineering,R&D Expenses,37918.07
2023,2023-05,Sales,Payroll & Benefits,100598.97
2023,2023-05,Sales,SaaS Tools & Subscriptions,29792.77
2023,2023-05,Sales,Travel & Entertainment,24375.9
2023,2023-05,Marketing,Payroll & Benefits,75449.22
2023,2023-05,Marketing,Sales & Marketing,32501.2
2023,2023-05,Marketing,SaaS Tools & Subscriptions,8125.3
2023,2023-05,Product,Payroll & Benefits,50299.48
2023,2023-05,Product,Cloud Infrastructure,20313.25
2023,2023-05,Product,R&D Expenses,6771.08
2023,2023-05,Operations,Payroll & Benefits,60359.38
2023,2023-05,Operations,SaaS Tools & Subscriptions,14625.54
2023,2023-05,Operations,Office & Facilities,17875.66
2023,2023-05,Finance,Payroll & Benefits,40239.59
2023,2023-05,Finance,Professional Services,18417.35
2023,2023-05,Finance,SaaS Tools & Subscriptions,3250.12
2023,2023-06,Engineering,Payroll & Benefits,162636.29
2023,2023-06,Engineering,Cloud Infrastructure,52544.03
2023,2023-06,Engineering,R&D Expenses,35029.36
2023,2023-06,Sales,Payroll & Benefits,92935.02
2023,2023-06,Sales,SaaS Tools & Subscriptions,27523.06
2023,2023-06,Sales,Travel & Entertainment,22518.87
2023,2023-06,Marketing,Payroll & Benefits,69701.27
2023,2023-06,Marketing,Sales & Marketing,30025.16
2023,2023-06,Marketing,SaaS Tools & Subscriptions,7506.29
2023,2023-06,Product,Payroll & Benefits,46467.51
2023,2023-06,Product,Cloud Infrastructure,18765.73
2023,2023-06,Product,R&D Expenses,6255.24
2023,2023-06,Operations,Payroll & Benefits,55761.01
2023,2023-06,Operations,SaaS Tools & Subscriptions,13511.32
2023,2023-06,Operations,Office & Facilities,16513.84
2023,2023-06,Finance,Payroll & Benefits,37174.01
2023,2023-06,Finance,Professional Services,17014.26
2023,2023-06,Finance,SaaS Tools & Subscriptions,3002.52
2023,2023-07,Engineering,Payroll & Benefits,162923.94
2023,2023-07,Engineering,Cloud Infrastructure,52636.96
2023,2023-07,Engineering,R&D Expenses,35091.31
2023,2023-07,Sales,Payroll & Benefits,93099.39
2023,2023-07,Sales,SaaS Tools & Subscriptions,27571.74
2023,2023-07,Sales,Travel & Entertainment,22558.7
2023,2023-07,Marketing,Payroll & Benefits,69824.55
2023,2023-07,Marketing,Sales & Marketing,30078.27
2023,2023-07,Marketing,SaaS Tools & Subscriptions,7519.57
2023,2023-07,Product,Payroll & Benefits,46549.7
2023,2023-07,Product,Cloud Infrastructure,18798.92
2023,2023-07,Product,R&D Expenses,6266.31
2023,2023-07,Operations,Payroll & Benefits,55859.64
2023,2023-07,Operations,SaaS Tools & Subscriptions,13535.22
2023,2023-07,Operations,Office & Facilities,16543.05
2023,2023-07,Finance,Payroll & Benefits,37239.76
2023,2023-07,Finance,Professional Services,17044.35
2023,2023-07,Finance,SaaS Tools & Subscriptions,3007.83
2023,2023-08,Engineering,Payroll & Benefits,170949.96
2023,2023-08,Engineering,Cloud Infrastructure,55229.99
2023,2023-08,Engineering,R&D Expenses,36819.99
2023,2023-08,Sales,Payroll & Benefits,97685.69
2023,2023-08,Sales,SaaS Tools & Subscriptions,28929.99
2023,2023-08,Sales,Travel & Entertainment,23669.99
2023,2023-08,Marketing,Payroll & Benefits,73264.27
2023,2023-08,Marketing,Sales & Marketing,31559.99
2023,2023-08,Marketing,SaaS Tools & Subscriptions,7890.0
2023,2023-08,Product,Payroll & Benefits,48842.84
2023,2023-08,Product,Cloud Infrastructure,19725.0
2023,2023-08,Product,R&D Expenses,6575.0
2023,2023-08,Operations,Payroll & Benefits,58611.41
2023,2023-08,Operations,SaaS Tools & Subscriptions,14202.0
2023,2023-08,Operations,Office & Facilities,17358.0
2023,2023-08,Finance,Payroll & Benefits,39074.28
2023,2023-08,Finance,Professional Services,17884.0
2023,2023-08,Finance,SaaS Tools & Subscriptions,3156.0
2023,2023-09,Engineering,Payroll & Benefits,164719.23
2023,2023-09,Engineering,Cloud Infrastructure,53216.98
2023,2023-09,Engineering,R&D Expenses,35477.99
2023,2023-09,Sales,Payroll & Benefits,94125.28
2023,2023-09,Sales,SaaS Tools & Subscriptions,27875.56
2023,2023-09,Sales,Travel & Entertainment,22807.28
2023,2023-09,Marketing,Payroll & Benefits,70593.96
2023,2023-09,Marketing,Sales & Marketing,30409.7
2023,2023-09,Marketing,SaaS Tools & Subscriptions,7602.43
2023,2023-09,Product,Payroll & Benefits,47062.64
2023,2023-09,Product,Cloud Infrastructure,19006.07
2023,2023-09,Product,R&D Expenses,6335.36
2023,2023-09,Operations,Payroll & Benefits,56475.17
2023,2023-09,Operations,SaaS Tools & Subscriptions,13684.37
2023,2023-09,Operations,Office & Facilities,16725.34
2023,2023-09,Finance,Payroll & Benefits,37650.11
2023,2023-09,Finance,Professional Services,17232.17
2023,2023-09,Finance,SaaS Tools & Subscriptions,3040.97
2023,2023-10,Engineering,Payroll & Benefits,164563.7
2023,2023-10,Engineering,Cloud Infrastructure,53166.74
2023,2023-10,Engineering,R&D Expenses,35444.49
2023,2023-10,Sales,Payroll & Benefits,94036.4
2023,2023-10,Sales,SaaS Tools & Subscriptions,27849.24
2023,2023-10,Sales,Travel & Entertainment,22785.74
2023,2023-10,Marketing,Payroll & Benefits,70527.3
2023,2023-10,Marketing,Sales & Marketing,30380.99
2023,2023-10,Marketing,SaaS Tools & Subscriptions,7595.25
2023,2023-10,Product,Payroll & Benefits,47018.2
2023,2023-10,Product,Cloud Infrastructure,18988.12
2023,2023-10,Product,R&D Expenses,6329.37
2023,2023-10,Operations,Payroll & Benefits,56421.84
2023,2023-10,Operations,SaaS Tools & Subscriptions,13671.45
2023,2023-10,Operations,Office & Facilities,16709.55
2023,2023-10,Finance,Payroll & Benefits,37614.56
2023,2023-10,Finance,Professional Services,17215.9
2023,2023-10,Finance,SaaS Tools & Subscriptions,3038.1
2023,2023-11,Engineering,Payroll & Benefits,164563.7
2023,2023-11,Engineering,Cloud Infrastructure,53166.74
2023,2023-11,Engineering,R&D Expenses,35444.49
2023,2023-11,Sales,Payroll & Benefits,94036.4
2023,2023-11,Sales,SaaS Tools & Subscriptions,27849.24
2023,2023-11,Sales,Travel & Entertainment,22785.74
2023,2023-11,Marketing,Payroll & Benefits,70527.3
2023,2023-11,Marketing,Sales & Marketing,30380.99
2023,2023-11,Marketing,SaaS Tools & Subscriptions,7595.25
2023,2023-11,Product,Payroll & Benefits,47018.2
2023,2023-11,Product,Cloud Infrastructure,18988.12
2023,2023-11,Product,R&D Expenses,6329.37
2023,2023-11,Operations,Payroll & Benefits,56421.84
2023,2023-11,Operations,SaaS Tools & Subscriptions,13671.45
2023,2023-11,Operations,Office & Facilities,16709.55
2023,2023-11,Finance,Payroll & Benefits,37614.56
2023,2023-11,Finance,Professional Services,17215.9
2023,2023-11,Finance,SaaS Tools & Subscriptions,3038.1
2023,2023-12,Engineering,Payroll & Benefits,373017.95
2023,2023-12,Engineering,Cloud Infrastructure,120513.49
2023,2023-12,Engineering,R&D Expenses,80342.33
2023,2023-12,Sales,Payroll & Benefits,213153.12
2023,2023-12,Sales,SaaS Tools & Subscriptions,63126.12
2023,2023-12,Sales,Travel & Entertainment,51648.64
2023,2023-12,Marketing,Payroll & Benefits,159864.84
2023,2023-12,Marketing,Sales & Marketing,68864.85
2023,2023-12,Marketing,SaaS Tools & Subscriptions,17216.21
2023,2023-12,Product,Payroll & Benefits,106576.56
2023,2023-12,Product,Cloud Infrastructure,43040.53
2023,2023-12,Product,R&D Expenses,14346.84
2023,2023-12,Operations,Payroll & Benefits,127891.87
2023,2023-12,Operations,SaaS Tools & Subscriptions,30989.18
2023,2023-12,Operations,Office & Facilities,37875.67
2023,2023-12,Finance,Payroll & Benefits,85261.25
2023,2023-12,Finance,Professional Services,39023.42
2023,2023-12,Finance,SaaS Tools & Subscriptions,6886.49
2024,2024-01,Engineering,Payroll & Benefits,186628.07
2024,2024-01,Engineering,Cloud Infrastructure,60295.22
2024,2024-01,Engineering,R&D Expenses,40196.81
2024,2024-01,Sales,Payroll & Benefits,106644.61
2024,2024-01,Sales,SaaS Tools & Subscriptions,31583.21
2024,2024-01,Sales,Travel & Entertainment,25840.81
2024,2024-01,Marketing,Payroll & Benefits,79983.46
2024,2024-01,Marketing,Sales & Marketing,34454.41
2024,2024-01,Marketing,SaaS Tools & Subscriptions,8613.6
2024,2024-01,Product,Payroll & Benefits,53322.3
2024,2024-01,Product,Cloud Infrastructure,21534.01
2024,2024-01,Product,R&D Expenses,7178.0
2024,2024-01,Operations,Payroll & Benefits,63986.77
2024,2024-01,Operations,SaaS Tools & Subscriptions,15504.49
2024,2024-01,Operations,Office & Facilities,18949.93
2024,2024-01,Finance,Payroll & Benefits,42657.84
2024,2024-01,Finance,Professional Services,19524.17
2024,2024-01,Finance,SaaS Tools & Subscriptions,3445.44
2024,2024-02,Engineering,Payroll & Benefits,196225.49
2024,2024-02,Engineering,Cloud Infrastructure,63395.93
2024,2024-02,Engineering,R&D Expenses,42263.95
2024,2024-02,Sales,Payroll & Benefits,112128.85
2024,2024-02,Sales,SaaS Tools & Subscriptions,33207.39
2024,2024-02,Sales,Travel & Entertainment,27169.68
2024,2024-02,Marketing,Payroll & Benefits,84096.64
2024,2024-02,Marketing,Sales & Marketing,36226.25
2024,2024-02,Marketing,SaaS Tools & Subscriptions,9056.56
2024,2024-02,Product,Payroll & Benefits,56064.43
2024,2024-02,Product,Cloud Infrastructure,22641.4
2024,2024-02,Product,R&D Expenses,7547.13
2024,2024-02,Operations,Payroll & Benefits,67277.31
2024,2024-02,Operations,SaaS Tools & Subscriptions,16301.81
2024,2024-02,Operations,Office & Facilities,19924.43
2024,2024-02,Finance,Payroll & Benefits,44851.54
2024,2024-02,Finance,Professional Services,20528.21
2024,2024-02,Finance,SaaS Tools & Subscriptions,3622.62
2024,2024-03,Engineering,Payroll & Benefits,178099.37
2024,2024-03,Engineering,Cloud Infrastructure,57539.8
2024,2024-03,Engineering,R&D Expenses,38359.86
2024,2024-03,Sales,Payroll & Benefits,101771.07
2024,2024-03,Sales,SaaS Tools & Subscriptions,30139.89
2024,2024-03,Sales,Travel & Entertainment,24659.91
2024,2024-03,Marketing,Payroll & Benefits,76328.3
2024,2024-03,Marketing,Sales & Marketing,32879.88
2024,2024-03,Marketing,SaaS Tools & Subscriptions,8219.97
2024,2024-03,Product,Payroll & Benefits,50885.53
2024,2024-03,Product,Cloud Infrastructure,20549.93
2024,2024-03,Product,R&D Expenses,6849.98
2024,2024-03,Operations,Payroll & Benefits,61062.64
2024,2024-03,Operations,SaaS Tools & Subscriptions,14795.95
2024,2024-03,Operations,Office & Facilities,18083.94
2024,2024-03,Finance,Payroll & Benefits,40708.43
2024,2024-03,Finance,Professional Services,18631.93
2024,2024-03,Finance,SaaS Tools & Subscriptions,3287.99
2024,2024-04,Engineering,Payroll & Benefits,181406.18
2024,2024-04,Engineering,Cloud Infrastructure,58608.15
2024,2024-04,Engineering,R&D Expenses,39072.1
2024,2024-04,Sales,Payroll & Benefits,103660.68
2024,2024-04,Sales,SaaS Tools & Subscriptions,30699.51
2024,2024-04,Sales,Travel & Entertainment,25117.78
2024,2024-04,Marketing,Payroll & Benefits,77745.51
2024,2024-04,Marketing,Sales & Marketing,33490.37
2024,2024-04,Marketing,SaaS Tools & Subscriptions,8372.59
2024,2024-04,Product,Payroll & Benefits,51830.34
2024,2024-04,Product,Cloud Infrastructure,20931.48
2024,2024-04,Product,R&D Expenses,6977.16
2024,2024-04,Operations,Payroll & Benefits,62196.41
2024,2024-04,Operations,SaaS Tools & Subscriptions,15070.67
2024,2024-04,Operations,Office & Facilities,18419.7
2024,2024-04,Finance,Payroll & Benefits,41464.27
2024,2024-04,Finance,Professional Services,18977.88
2024,2024-04,Finance,SaaS Tools & Subscriptions,3349.04
2024,2024-05,Engineering,Payroll & Benefits,181406.18
2024,2024-05,Engineering,Cloud Infrastructure,58608.15
2024,2024-05,Engineering,R&D Expenses,39072.1
2024,2024-05,Sales,Payroll & Benefits,103660.68
2024,2024-05,Sales,SaaS Tools & Subscriptions,30699.51
2024,2024-05,Sales,Travel & Entertainment,25117.78
2024,2024-05,Marketing,Payroll & Benefits,77745.51
2024,2024-05,Marketing,Sales & Marketing,33490.37
2024,2024-05,Marketing,SaaS Tools & Subscriptions,8372.59
2024,2024-05,Product,Payroll & Benefits,51830.34
2024,2024-05,Product,Cloud Infrastructure,20931.48
2024,2024-05,Product,R&D Expenses,6977.16
2024,2024-05,Operations,Payroll & Benefits,62196.41
2024,2024-05,Operations,SaaS Tools & Subscriptions,15070.67
2024,2024-05,Operations,Office & Facilities,18419.7
2024,2024-05,Finance,Payroll & Benefits,41464.27
2024,2024-05,Finance,Professional Services,18977.88
2024,2024-05,Finance,SaaS Tools & Subscriptions,3349.04
2024,2024-06,Engineering,Payroll & Benefits,183345.1
2024,2024-06,Engineering,Cloud Infrastructure,59234.57
2024,2024-06,Engineering,R&D Expenses,39489.71
2024,2024-06,Sales,Payroll & Benefits,104768.63
2024,2024-06,Sales,SaaS Tools & Subscriptions,31027.63
2024,2024-06,Sales,Travel & Entertainment,25386.24
2024,2024-06,Marketing,Payroll & Benefits,78576.47
2024,2024-06,Marketing,Sales & Marketing,33848.33
2024,2024-06,Marketing,SaaS Tools & Subscriptions,8462.08
2024,2024-06,Product,Payroll & Benefits,52384.31
2024,2024-06,Product,Cloud Infrastructure,21155.2
2024,2024-06,Product,R&D Expenses,7051.73
2024,2024-06,Operations,Payroll & Benefits,62861.18
2024,2024-06,Operations,SaaS Tools & Subscriptions,15231.75
2024,2024-06,Operations,Office & Facilities,18616.58
2024,2024-06,Finance,Payroll & Benefits,41907.45
2024,2024-06,Finance,Professional Services,19180.72
